Title,Description,Page,Book
Scanning – UDP,UDP behavior while port scanning,38-39,2
Nmap,The most popular port scanner in the world.,41,2
Nmap – packet-trace,.,42,2
Nmap – Runtime Interaction,.,43,2
Nmap – Timing,.,44-45,2
Nmap – Output,.,46,2
Nmap – Probing,.,47-49,2
Nmap – nmap-services,File listing all known Nmap services; used to determine the top used ports.,50,2
Nmap – TCP Scan,.,51-53,2
Nmap – Custom TCP Control Bits,.,54,2
Nmap – scanflags,.,54,2
Nmap – UDP Scan,.,55,2
Nmap – badsum,Generate packets with an invalid TCP or UDP checksum (firewall spotting).,56,2
Firewall Spotting,Scanning technique to spot firewall responses using invalid TCP or UDP checksum.,56,2
Nmap – IPv6,.,57,2
Network Sweeping (IPv6),Identifies which IPv6 addresses are in use.,58,2
Neighbor Discovery (IPv6),Send a message to the multicast address of a local subnet looking for neighbors.,58,2
Nmap – targets-ipv6-multicast-echo,.,58,2
Nmap – Active OS Fingerprinting,.,66-67,2
Passive OS Fingerprinting,Determine OS of target by listening their network traffic.,66,2
P0f2,Passive OS fingerprinting free tool.,66,2
/etc/services,File included in most UNIX systems which lists common ports.,68,2
IANA Port Assignments,Official port assignment list maintainer.,68,2
Nmap – Version Scanning,.,69,2
Nmap – version-trace,.,69,2
Nmap – Auto (-A),-A = -O + -sV + -sC + --traceroute,69,2
Nmap – nmap-service-probes,File listing more than 1000 service signatures; used during version scanning.,69,2
Scapy,Packet crafting; manipulation and analysis suite written in Python.,77,2
Scapy – sprintf,Feature to format output of packets.,83,2
Scapy – TCP Control Bits,.,85,2
Hping,Packet crafting tool.,91,2
Nmap Scripting Engine (NSE),Extend the capabilities of Nmap with LUA scripts.,104-105,2
Lua,Fast; flexible and free scripting language.,105,2
Nmap Scripting Engine (NSE) – Categories,.,106-107,2
Nessus,Commercial vulnerability scanner.,115,2
Nessusd,Nessus vulnerability scanner daemon (server).,116,2
OpenVAS,Free forked of the last open-source version of Nessus (version 2).,116,2
Nessus-fetch,Register your serial number with your given Nessus installation on Linux; Solaris and FreeBSD.,117,2
Nessus-update-plugins,Manually update Nessus plugins.,117,2
Nessus – Enable Safe Checks,Default configuration that does not include dangerous plugins.,119,2
NeXCSer,Script for merging multiple Nessus XML report files and converting them into a CSV file.,120,2
Nexpose,Commercial vulnerability scanner.,128,2
Metasploit Pro,GUI for metasploit; integration between scanning and exploitation; etc.,128,2
SAINT,One of the original vulnerability scanner.,128,2
BeyondTrust Retina Network Security Scanner,Commercial vulnerability scanner.,128,2
Core Impact,Commercial exploitation frameworks with limited vulnerability scanner features.,128,2
Netcat,.,130-131,2
Netcat – Port Scan,.,134,2
Netcat – Listener,.,135,2
Netcat – Monitor Services,Use netcat to build a small remote service monitoring tool.,136-137,2
Exploitation – Why?,.,6,3
Exploit – Categories,.,9,3
Service-Side Exploit,Exploit targeting a service that is listening on the network.,10,3
Client-Side Exploit,Exploit targeting a client application that fetches content from a server machine.,11,3
Microsoft Baseline Security Analyzer (MBSA),Free tool that generates high-quality reports indicating Microsoft software that is out of date.,15,3
Secunia’s Corporate Software Inspector,Tool that conducts detailed inventories and analysis of installed software.,15,3
Representative Sample,Machine that represents all other machines of a target organization.,17,3
Local Privilege Escalation Exploit,.,18,3
SUID,Permission bit of a Linux binary that allows it to always run with the privilege of its owner.,19,3
Getsystem,Metasploit command of the priv module that runs through a series of local privilege escalation exploits.,19,3
Hashdump,Metasploit command of the priv module that collects local hashes from the SAM database.,19,3
Enlightenment Exploit Pack,Includes approximately a dozen different privilege escalation exploits for Linux.,19,3
Csrss.exe,Process that controls interactions within user mode.,19,3
Winlogon.exe,Process that logs user onto a machine.,19,3
Lsass.exe,Process that provides authorization checks.,19,3
Race Condition,Issue involving two different actions happening on a system in an indeterminate order with different results if one action finishes before the other.,19,3
Kernel Attacks,Type of local privilege escalation that targets the kernel.,19,3
Metasploit Framework,Free and open-source exploitation framework.,21,3
Metasploit Pro,Commercial version of the Metasploit Framework,21,3
Cobalt Strike,Commercial exploitation framework developed by Raphael Mudge.,21,3
Core IMPACT,Commercial exploitation framework developed by Core Security Technologies.,21,3
CANVAS,Commercial exploitation framework developed by Immunity.,21,3
Exploitation Framework,Environment in which exploits can be used to compromise targets and in which new exploits can be created.,21,3
Metasploit – File System,.,25,3
Msfpescan,Metasploit Framework Portable Executable scanning tool that looks through Windows EXE and DLL to find patterns that might be consistent with a given type of vulnerability.,25,3
Msfopcode,Provides an interface for looking up machine language opcodes.,25,3
Msfconsole,Metasploit console interface (main interface).,26,3
Msfd,Metasploit daemon listening on tcp/55554 (no authentication; no encryption).,26,3
Msfrpcd,Metasploit daemon listening on tcp/55553 awaiting control messages using XML over RPC (SSL available).,26,3
Armitage,Metasploit client that controls the framework over msfrpcd (XML over RPC).,26,3
Msfcli,Metasploit single-command interface.,26,3
Msfvenom,Generate Metasploit payloads in a range of different file formats.,26,3
Msfencode,Encode file or raw shell code to avoid signature-based AV.,26;67,3
Metasploit – Modules,.,27,3
NOP (sled),Machine instruction that tell a processor to do nothing.,27,3
Metasploit – Exploits,.,28,3
Metasploit – Windows Exploits,.,29,3
DCERPC,Microsoft Distributed Computing Environment Remote Procedure Call.,29,3
Psexec (msf),Always requires admin privileges on the remote machine.,29-30,3
OSVDB,Open Source Vulnerability Database (osvdb.org).,30,3
Bugtraq,Similar to OSVDB and CVE.,30,3
Metasploit – Payloads,.,31-34,3
Single,Stand-alone payload that include all their pieces in one module.,32,3
Stager,Stagers load the stage into the target machine and implement communications code.,33,3
Stage,Payload piece part that implement the functionality.,34,3
Metasploit – IPv6,.,33,3
Adduser,Msf single payload that creates an admin user account as backdoor.,32,3
Speak_pwned,Msf single payload that says “You got pwned!”,32,3
Exec,Msf single payload that executes a single command.,32,3
Download_exec,Msf single payload that downloads a program to the target machine and executes it.,32,3
Shell_bind_tcp,Msf single payload that provides shell access via a listening TCP port on the victim.,32,3
Shell_bind_tcp_xpfw,Msf single payload that first disable Windows Firewall then provides shell access via a listening TCP port.,32,3
Shell_reverse_tcp,Msf single payload that makes a reverse shell connection back to the attacker.,32,3
Bind_tcp,Msf stager that listen on a TCP port on the victim.,33,3
Bind_ipv6_tcp,Msf stager similar to bind_tcp using IPv6.,33,3
Reverse_tcp,Msf stager that makes an outbound TCP connection back to the attacker.,33,3
Reverse_ipv6_tcp,Msf stager similar to reverse_tcp using IPv6.,33,3
Reverse_http,Msf stager that carries a session back to the attacker using outbound HTTP.,33,3
Reverse_https,Msf stager that carries a session back to the attacker using outbound HTTPS; with all data encrypted in the stager.,33,3
Reverse_tcp_allports,Msf stager that tries to make an outbound TCP connection back to the attacker by cycling through each port.,33,3
Dllinject,Msf stage that injects a DLL into the memory.,34,3
Upexec,Msf stage that uploads an executable to the target machine and runs it.,34,3
Shell,Msf stage that implements a standard cmd.exe/bash shell.,34,3
Vncinject,Msf stage that gives remote VNC control of the target.,34,3
Metasploit Courtesy Shell,Indicates to the user at the console that Metasploit has been used to get VNC control over the system.,34,3
Meterpreter,Msf stage that provides a specialized shell designed for computer attacks.,34;42,3
Sysinfo,Meterpreter command to show the system name and operating system type.,43,3
Reg,Meterpreter command to read from or write to the Registry of the target machine.,43,3
Meterpreter – File System Commands,.,44,3
Getpid,Meterpreter command to display the PID of the process that the Meterpreter runs inside.,45,3
Getuid,Meterpreter command to display the user ID name that the Meterpreter runs with.,45,3
Migrate,Meterpreter command to jump from the Meterpreter current process to a given destination process ID.,45,3
Meterpreter – Networking Commands,.,46,3
Stdapi,Meterpreter networking commands.,46,3
Portfwd,Meterpreter command to forward traffic for a given incoming TCP port on the attack’s machine across the Meterpreter session to another machine on a different TCP port.,46,3
Meterpreter – Console Interface Commands,Commands to interact with the console (GUI) of the target machine.,47,3
Idletime,Meterpreter command to display the amount of time that the GUI of the victim has been idle.,47,3
Uictl,Meterpreter command to enable or disable the mouse and/or keyboard of the target machine.,47,3
Meterpreter – Webcam Commands,.,48,3
Meterpreter – Mic Commands,.,48,3
Meterpreter – Keylogger,.,49,3
Keyscan_dump,Meterpreter command to pull down the captured keylogger keystokes.,49,3
Metasploit – Pivoting,.,50,3
Route (msf),Msf command used to direct all traffic for a given target subnet from the attacker’s Metasploit machine through a given Meterpreter session.,50,3
Metsrv.dll,Meterpreter default module implementing the Core functionality.,51,3
Ext_server_stdapi.dll,Meterpreter default module implementing the Stdapi functions.,51,3
Meterpreter – Priv Module,.,52-53,3
Hashdump,Meterpreter command (priv module) to dump the local SAM database.,52,3
Timestomp,Meterpreter command (priv module) that alters dates and timestamps associated with files in NTFS partitions.,52,3
MACE,Acronym to reference timestamps of a file within a NTFS partition (Modified; Accessed; Created; mft Entry).,52,3
Getsystem,Meterpreter command (priv module) that provides several techniques for local privilege escalation to SYSTEM.,53,3
Meterpreter – Modules,.,51,3
Msfmap,Meterpreter module which implements a stripped-down set of Nmap-like functionality.,54,3
Antivirus Evasion Tactics,.,64-65,3
Ghost Writing,AV evasion technique that consists in altering the malicious executable in a disassembler or hex editor.,64,3
VirusTotal,.,66,3
Veil Framework,Penetration testing framework mostly known for its Veil-Evasion tool.,68,3
Veil-Evasion,Tool that creates payload designed to evade antivirus tools.,68-70,3
Veil-Catapult,Tool focused on running payloads on a target system.,68,3
Veil-Pillage,Post-exploitation tools of the Veil Framework.,68,3
Veil-PowerUp,Privilege escalation tools of the Veil Framework.,68,3
Veil’s VDay,The day on which the new Veil payload is released.,70,3
PSH-CMD Options,Explanation of PSH-CMD options.,75,3
Metasploit – Database,.,78-79,3
Pwdump,Msf DB export format that contains only a list of hosts and the credentials taken from each host.,78,3
Metasploit – Auxiliary Scanner,.,81,3
RHOSTS,.,81,3
Metasploit Database – Manual,.,82,3
Db_nmap,Metasploit command to invoke Nmap directly from the msfconsole.,83,3
Db_import,Metasploit command to import data into the Metasploit database.,84,3
Db_autopwn,Old metasploit command that looked through the database and automatically identify exploits and run them.,85,3
Port Relay,Technique to relay around firewall port filters or access localhost listening services.,94,3
Netcat Relay,Setup a local port forwarding on Linux using netcat and a named pipe.,95,3
Named pipe,In Linux; FIFO pipe used for instance to create a netcat relay.,95,3
PowerShell Empire,Feature-rich post-exploitation framework based primarily on PowerShell,103-105,3
PowerSploit,Code execution; screenshots; keystroke logging and more.,103;106,3
Posh-SecMod,Discovery; network situational awareness; etc.,103;105,3
UnmanagedPowerShell,.,103,3
PowerShell-AD-Recon,.,103,3
PowerShell Empire – Modules,.,106-108,3
PowerBreach,Persistence mechanisms.,106,3
PowerUp,Local privilege escalation.,106,3
PowerView,Account info; domain info; shares; etc.,106,3
TFTP,Simple File Transfer Protocol.,6,4
FTP,File Transfer Protocol.,6,4
SCP,Secure CoPy.,6,4
HTTP (to transfer files),.,6,4
Wget (to transfer files),.,6,4
Lynx,.,6,4
HTTrack,.,6,4
Windows File Sharing,Native Windows protocols to transfer files between systems.,7,4
Smbclient,Unix utility to use the SMB transfer protocol (Samba).,7,4
Smbmount,Unix utility to use the SMB transfer protocol (Samba).,7,4
Smbd,Samba daemon.,7,4
NFS,Network File System; Unix protocol to transfer files between systems.,7,4
Meterpreter – File Transfer,.,7,4
Pilfering,The action to exfiltrate useful or sensitive information from a compromised system.,10-12,4
Netstat -na,See current TCP and UDP usage (Windows).,12,4
Netstat -natu,See current TCP and UDP usage (Linux).,12,4
Arp -a,Dump the system ARP cache,12,4
Netstat -nr,Display the routing table on both Windows and Linux.,12,4
Ipconfig /displaydns,Dump the Windows DNS cache.,12,4
Type,Windows equivalent of cat.,16,4
More,Windows equivalent of less/more.,16,4
Find /i,Windows command to search for strings (case-insensitive with /i).,16,4
Findstr,Windows command to search for regex.,16,4
Set,Windows command to see environment variables (s.a. username or path).,17,4
Dir,Windows command to search for a file in the file system.,18,4
Net user,Windows command to list and manage local users.,19-20,4
Net localgroup,Windows command to list and manage local groups.,19-20,4
Netsh,Windows command to interact with the network settings (interfaces; firewall; etc).,21-22,4
Reg,Windows command to interact with the Registry.,23,4
Net use,Windows command to setup an SMB session.,24-25,4
SMB Sessions,Manage SMB sessions using the net use command.,24-25,4
Sc,Windows command to interact with services.,26-28,4
Service Controller,See sc.,26-28,4
FOR loops (Windows),.,29,4
FOR /L,Windows command to loop using a counter.,30-33,4
FOR /R,Windows command to loop over a set of files; the content of a file; or the output of a command.,34-35,4
Timeout,Windows command to pause execution for a x number of seconds.,31,4
Ping Sweep (Windows),Perform a ping sweep using basic for loop on Windows.,33,4
Runas,Windows command to run commands as another user.,40,4
Psexec (sysinternals),.,45-46,4
Psexec (msf),.,47,4
At,Old Windows command to schedule jobs (local or remote).,49-50,4
Schtasks,Windows command to schedule jobs (local or remote).,49-50,4
Schtasksabuse,Meterpreter command to automate the remote command execution process using schtasks.,50,4
Sc (as psexec),Use the Service Controller to execute commands on remote machines.,51-52,4
ServifyThis,InGuardians free tool to wrap an executable in a Windows service.,52,4
WMIC,Windows Management Instrumentation Control to execute commands on a remote target.,53-54,4
PowerShell – Cmdlets,.,64,4
Get-Command,PowerShell cmdlet to list all cmdlets.,64,4
PowerShell – Alias,.,65,4
PowerShell – Common Cmdlets,.,66,4
Get-ChildItem,PowerShell cmdlet to show the content of something that holds other objects; such as directory.,66,4
Copy-Item,PowerShell cmdlet to copy something.,66,4
Move-Item,PowerShell cmdlet to move something.,66,4
Select-String,PowerShell cmdlet to search through files or output looking for strings or regular expressions.,66; 78,4
Get-Help,PowerShell cmdlet that behaves like man.,66; 67,4
Get-Content,PowerShell cmdlet to look inside of things to see their content; such as the content of a file.,66,4
Get-Process,PowerShell cmdlet to list running processes.,66,4
Get-Location,PowerShell cmdlet to print your current working directory.,66,4
PowerShell – Help,.,67,4
PowerShell – WhatIf,PowerShell cmdlet option present in most cmdlets that tells you what the command would do; without actually doing it.,70,4
PowerShell – Pipeline,.,71,4
Get-Member,PowerShell cmdlet to get a list of the properties and methods that are output from a given cmdlet.,71,4
Format-List,PowerShell cmdlet to create a customized list of properties.,72,4
ForEach-Object,PowerShell cmdlet that take each object piped to it and then run a command of your choosing against each individual object.,73,4
Where-Object,PowerShell cmdlet to filter down a group of objects to select ones that we want based on their properties.,74,4
Select-Object,PowerShell cmdlet to create new objects from those passed down the pipeline with a subset of properties.,75,4
PowerShell – Find Files,.,76,4
PowerShell – Built-in Variables,.,77,4
PowerShell – Count,.,79,4
PowerShell – Loops,.,80,4
Out-Host,PowerShell cmdlet to convert the output of a command into a text stream (with paging option like less).,81,4
Out-File,PowerShell cmdlet to write the output of a command into a file.,81,4
PowerShell – Port Scan,.,82,4
PowerShell – wget,.,82,4
Net.Socket.TcpClient,PowerShell object to make a TCP connection.,82,4
Password Guessing,.,93,4
Password Cracking,.,93,4
Synced Password,Alternative term for password re-use.,95-96,4
Password Re-use,.,95-96,4
LANMAN,Password hash representation that uses uppercase letters only.,96; 126,4
Lm2ntcrack,Help crack NT hash from the already solved LANMAN hash of the same password.,96,4
Uniq,Linux command to remove duplicates.,97,4
CeWL,Custom Wordlist Generator; spiders a target website and builds a list of unique words.,98,4
Hybrid Guessing,In password context; the concept of formulating alterations of dictionary words.,99,4
Account Lockout,.,106,4
LockoutStatus.exe,Microsoft tool to pull info about locked out accounts from Active Directory.,106,4
Alockout.dll,Helps troubleshoot account lockout problems by generating a text file showing the name of applications that are causing account lockout.,106,4
Account Lockout – Windows,.,107-108,4
Net accounts,Windows command to display the account lockout policy.,107,4
Passprop.exe,Microsoft tool to enable account local for the original administrator account (not default behavior).,108,4
Account Lockout – Linux,.,109,4
PAM,Pluggable Authentication Modules (PAM).,109,4
Pam_tally,PAM module that provides account lockout functionality on Linux.,109,4
No_magic_root,Tally option to still count bad service root login as bad login attempts.,109,4
Even_deny_root_account,Tally option to enable account lockout for the root account.,109,4
Ntpasswd,Linux tool to reset a Windows password on a mounted NTFS partition.,112,4
Linux rescue,Linux boot mode using Live CD.,112,4
Faillog,Linux command to reset the number of failed password attempts.,112,4
Hydra,Password guessing tool.,114,4
Xhydra,GUI front-end for the hydra password guessing tool.,114,4
Pw-inspector,Tool included with hydra to trim word lists based on target password policy.,115,4
SAM database,On Windows systems; local accounts hashes are stored in the Security Account Manager (SAM) database.,124,4
Ntds.dit,On Active Directory; accounts hashes are stored in the %systemroot%\ntds\ntds.dit file.,125,4
Ntdsxtract,Suite of tools that can parse the ntds.dit file to extract hashes.,125,4
KGS!@#$%,Constant used to create LANMAN hashes.,126,4
NT hash,Password representation on Windows system that uses the MD4 hashing algorithm.,127,4
Salt,A bit of randomness folded into a crypto algorithm to make attacks against it more difficult.,127,4
LANMAN Challenge/Response,Network authentication protocol using LANMAN hash to calculate the response.,129-130,4
NTLMv1,Network authentication protocol using NT hash to calculate the response.,129-130,4
NTLMv2,Network authentication protocol using a server challenge and a client challenge calculated using the NT hash.,131-132,4
